Date,Algae,Calcified Algae,Live Coral,Others,Pavement,Rubble,Sand,Turf
1990-05-01,0.028,0.03,0.171,0.007,0.015,0.372,0.257,0.12
1991-05-01,0.039,0.028,0.132,0.002,0.011,0.395,0.251,0.142
1992-05-01,0.022,0.017,0.158,0.002,0.01,0.381,0.27,0.14
1993-05-01,0.029,0.026,0.142,0.003,0.019,0.371,0.281,0.129
1994-05-01,0.061,0.017,0.144,0.002,0.025,0.351,0.278,0.122
1995-05-01,0.025,0.027,0.151,0.0,0.016,0.341,0.302,0.138
1996-05-01,0.019,0.025,0.175,0.002,0.019,0.338,0.288,0.134
1997-05-01,0.018,0.031,0.165,0.001,0.016,0.298,0.325,0.146
1998-05-01,0.011,0.031,0.167,0.0,0.03,0.319,0.314,0.128
1999-05-01,0.018,0.028,0.175,0.002,0.015,0.357,0.294,0.111
2000-05-01,0.015,0.014,0.173,0.001,0.014,0.275,0.372,0.136
2001-05-01,0.011,0.025,0.187,0.002,0.012,0.247,0.376,0.14
2002-05-01,0.001,0.032,0.226,0.001,0.013,0.202,0.381,0.144
2003-05-01,0.002,0.027,0.196,0.0,0.013,0.258,0.362,0.142
2004-05-01,0.008,0.037,0.173,0.002,0.032,0.225,0.395,0.128
2005-05-01,0.003,0.033,0.185,0.001,0.025,0.319,0.321,0.113
2006-05-01,0.003,0.03,0.213,0.001,0.036,0.279,0.311,0.127
2007-05-01,0.002,0.03,0.204,0.001,0.019,0.258,0.345,0.141
2008-05-01,0.002,0.032,0.181,0.001,0.051,0.284,0.311,0.138
2009-04-01,0.005,0.036,0.159,0.001,0.03,0.222,0.393,0.154
2010-04-01,0.003,0.041,0.121,0.001,0.036,0.233,0.41,0.155
2011-05-01,0.004,0.056,0.113,0.007,0.033,0.244,0.364,0.179
2012-05-01,0.011,0.049,0.078,0.004,0.045,0.295,0.289,0.229
2013-06-01,0.092,0.143,0.059,0.004,0.065,0.387,0.21,0.04
2014-04-01,0.067,0.073,0.056,0.005,0.186,0.366,0.214,0.033
2015-04-01,0.064,0.065,0.071,0.003,0.2,0.273,0.301,0.023
2016-05-01,0.082,0.065,0.061,0.001,0.191,0.247,0.323,0.03
2017-04-01,0.086,0.025,0.162,0.001,0.22,0.137,0.362,0.007
2018-05-01,0.074,0.03,0.072,0.0,0.196,0.23,0.356,0.042
2018-05-01,0.092,0.046,0.066,0.0,0.152,0.182,0.432,0.03
2019-05-01,0.086,0.05,0.082,0.0,0.179,0.239,0.345,0.019
2020-05-01,0.104,0.034,0.085,0.0,0.135,0.157,0.446,0.039
2021-04-01,0.078,0.035,0.073,0.0,0.173,0.207,0.422,0.012
2022-06-01,0.078,0.037,0.083,0.0,0.15,0.172,0.453,0.027
2023-04-01,0.065,0.052,0.115,0.0,0.146,0.141,0.448,0.033
