YearSeason,Algae,Dead Coral,Live Coral,Mud,Others,Pavement,Rubble,Sand,Turf
2004-10-01,0.013766666666666668,0.0,0.28723333333333334,0.0,0.0,0.4018333333333333,0.06,0.23716666666666666,0.0
2005-03-01,0.06013333333333334,0.013333333333333334,0.20733333333333334,0.0,0.020133333333333333,0.4967333333333333,0.08123333333333334,0.1211,0.0
2005-10-01,0.077,0.05566666666666667,0.27166666666666667,0.0,0.006666666666666667,0.19399999999999998,0.041666666666666664,0.35200000000000004,0.0
2006-03-01,0.13999999999999999,0.060000000000000005,0.2733333333333334,0.0,0.006666666666666667,0.18666666666666668,0.24666666666666667,0.08666666666666667,0.0
2006-10-01,0.24,0.0,0.17333333333333334,0.26666666666666666,0.0,0.06,0.10666666666666667,0.15333333333333332,0.0
2007-03-01,0.013333333333333334,0.0,0.30666666666666664,0.0,0.0,0.07333333333333333,0.04,0.26,0.3066666666666667
2007-10-01,0.006666666666666667,0.0,0.16,0.0,0.013333333333333334,0.24,0.07333333333333333,0.4266666666666666,0.08
2008-03-01,0.0,0.0,0.39999999999999997,0.0,0.0,0.2733333333333334,0.04666666666666667,0.28,0.0
2008-10-01,0.0,0.04,0.32666666666666666,0.0,0.013333333333333334,0.19333333333333336,0.02,0.25333333333333335,0.15333333333333332
2009-03-01,0.006666666666666667,0.006666666666666667,0.3066666666666667,0.0,0.006666666666666667,0.10666666666666667,0.08,0.09333333333333334,0.39333333333333337
2009-10-01,0.013333333333333334,0.0,0.16666666666666666,0.08666666666666667,0.006666666666666667,0.26666666666666666,0.12,0.22666666666666666,0.11333333333333334
2010-03-01,0.006666666666666667,0.0,0.26,0.22,0.006666666666666667,0.22,0.02666666666666667,0.0,0.26
2011-03-01,0.04666666666666667,0.0,0.22,0.3666666666666667,0.006666666666666667,0.18000000000000002,0.03333333333333333,0.0,0.14666666666666667
2012-03-01,0.006666666666666667,0.006666666666666667,0.32,0.0,0.013333333333333334,0.14,0.04666666666666667,0.25333333333333335,0.21333333333333335
2013-03-01,0.06666666666666667,0.006666666666666667,0.11333333333333334,0.0,0.006666666666666667,0.19333333333333333,0.08,0.2866666666666667,0.24666666666666667
2014-03-01,0.0,0.0,0.19333333333333336,0.0,0.0,0.14666666666666667,0.09333333333333334,0.25333333333333335,0.3133333333333333
2015-03-01,0.006666666666666667,0.0,0.22666666666666668,0.0,0.0,0.36000000000000004,0.07333333333333333,0.14666666666666667,0.18666666666666668
2016-03-01,0.08,0.0,0.12,0.0,0.0,0.26,0.10666666666666667,0.24,0.19333333333333336
2017-03-01,0.02,0.0,0.26666666666666666,0.0,0.03333333333333333,0.30666666666666664,0.0,0.32,0.05333333333333334
2018-03-01,0.09333333333333334,0.0,0.16666666666666666,0.0,0.013333333333333334,0.3133333333333333,0.02666666666666667,0.2733333333333333,0.11333333333333333
2019-03-01,0.12666666666666668,0.0,0.22,0.0,0.0,0.25333333333333335,0.0,0.3466666666666667,0.05333333333333334
2020-03-01,0.06,0.02666666666666667,0.38000000000000006,0.0,0.0,0.0,0.26,0.22666666666666666,0.04666666666666667
2021-03-01,0.06,0.2333333333333333,0.5,0.0,0.0,0.0,0.04666666666666667,0.16,0.0
2022-03-01,0.22666666666666668,0.013333333333333334,0.2333333333333333,0.0,0.0,0.18000000000000002,0.11333333333333333,0.23333333333333336,0.0
2023-03-01,0.19999999999999998,0.006666666666666667,0.05333333333333334,0.0,0.0,0.28,0.10000000000000002,0.34,0.02
