Year,C,Co,H,O,P,Pi,Total
2005-01-01,0.09082651665932082,0.09438450716372275,0.22202803790205614,0.2160885158734281,0.2132595624934134,0.16341285990805882,306.3559381322053
2007-01-01,0.10384750157577312,0.06647929076300466,0.2465451489272406,0.14792252666273972,0.27243306725879807,0.1627724648124439,433.9975881317275
2009-01-01,0.0941048141386616,0.046531092017913715,0.26384282837595535,0.21141496160556927,0.2190603281971203,0.1650459756647797,288.93464265288577
2011-01-01,0.13942207729214964,0.052643637215495524,0.27834770198310743,0.2086735286292003,0.1548831221234842,0.1660299327565628,189.9564796228883
2013-01-01,0.1641272304900103,0.069069831881391,0.17434886457455195,0.2133290068479501,0.17457210255736186,0.20455296364873488,164.6883985403863
2015-01-01,0.19027041256497612,0.07542934633659802,0.1683425448245101,0.1822337608456466,0.25349255296248907,0.13023138246577998,188.8042254375863
2017-01-01,0.21763938548585365,0.09639865697814712,0.15982637516924508,0.15778815389959064,0.13927621411495056,0.2290712143522129,141.65900369352335
2019-01-01,0.20232796163137115,0.09438571048219811,0.19792714915101564,0.14650041133445096,0.22986147118811315,0.128997296212851,179.21032252240724
2021-01-01,0.2653857428019275,0.05821840342185819,0.13281589924657994,0.1458123402380802,0.21022933996343965,0.18753827432811462,279.3080642797604
2023-01-01,0.15347662606879844,0.05527523024312537,0.1502388399385724,0.3066074162294929,0.2376702345945415,0.0967316529254694,269.43093818608526
