YearSeason,Acanthaster planci,Bohadschia argus,Tridacna maxima,Trochus niloticus,Turbo marmoratus,Total
2006-03-01,0.0,0.0,1.0,0.0,0.0,1.0
2006-10-01,0.5,0.25,0.25,0.0,0.0,4.0
2007-03-01,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0
2007-10-01,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,7.0
2008-03-01,1.0,0.0,0.0,0.0,0.0,7.0
2008-10-01,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,6.0
2009-03-01,0.6,0.2,0.0,0.2,0.0,5.0
2009-10-01,0.0,0.0,0.5,0.5,0.0,2.0
2011-03-01,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0
2012-03-01,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,7.0
2013-03-01,0.0,0.09090909090909091,0.0,0.7272727272727273,0.18181818181818182,11.0
2014-03-01,0.0,0.0,0.0,1.0,0.0,5.0
2015-03-01,0.0,0.0,0.0,1.0,0.0,2.0
2016-03-01,0.0,0.0,0.0,1.0,0.0,1.0
2020-03-01,0.0,0.0,0.0,1.0,0.0,1.0
