Date,Acanthaster planci,Bohadschia argus,Tridacna maxima,Trochus niloticus,Turbo marmoratus,Species richness,Shannon,Pielou,Brillouin,Simpson,Total
2006-03-01,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,,1.0
2006-10-01,0.5,0.25,0.25,0.0,0.0,1.0,0.9463946303425481,0.6559907695398762,0.08333333333333333,0.8333333333333334,4.0
2007-03-01,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.6931471803706664,0.16666666666666666,1.0,3.0
2007-10-01,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,0.6666666666666666,0.5445684475948592,0.5982695883852572,0.047619047619047616,0.47619047619047616,7.0
2008-03-01,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,0.0,7.0
2008-10-01,0.8333333333333334,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.4101184862364621,0.4505612086663046,0.16666666666666666,0.33333333333333337,6.0
2009-03-01,0.6,0.2,0.0,0.2,0.0,1.0,0.8649735206810555,0.5995539569553618,0.05,0.7,5.0
2009-10-01,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.6309297535616988,0.6931471803599453,0.5,1.0,2.0
2011-03-01,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5793801642618596,0.6365141680948128,0.3333333333333333,0.6666666666666667,3.0
2012-03-01,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,0.6666666666666666,0.3733039603057783,0.410116318088409,0.14285714285714285,0.2857142857142857,7.0
2013-03-01,0.0,0.0909090909090909,0.0,0.7272727272727273,0.1818181818181818,1.0,0.6913698301182333,0.47922104833979995,0.00202020202020202,0.4727272727272728,11.0
2014-03-01,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,0.0,5.0
2015-03-01,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,0.0,2.0
2016-03-01,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,,1.0
2020-03-01,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-9.102393021434176e-11,-inf,1.0,,1.0
