year,Barrier reef,Fore reef,Fringing reef
1987-01-01,0.7368421052631579,0.5348837209302325,0.4583333333333333
1988-01-01,0.7368421052631579,0.5581395348837209,0.4166666666666667
1989-01-01,0.631578947368421,0.7674418604651163,0.9166666666666666
1990-01-01,0.6526315789473685,0.7209302325581395,0.8333333333333334
1991-01-01,0.6,0.5658914728682171,0.5833333333333334
1992-01-01,0.4842105263157895,0.49612403100775193,0.5833333333333334
1993-01-01,0.6210526315789474,0.29457364341085274,0.3333333333333333
1994-01-01,0.47368421052631576,0.43410852713178294,0.6666666666666666
1995-01-01,0.45263157894736844,0.6124031007751938,0.4583333333333333
1996-01-01,0.5157894736842106,0.6511627906976745,0.4166666666666667
1997-01-01,0.3684210526315789,0.689922480620155,0.3333333333333333
1998-01-01,0.5684210526315789,0.8527131782945736,0.75
1999-01-01,0.5157894736842106,0.7829457364341085,0.5833333333333334
2000-01-01,0.6105263157894737,0.875968992248062,0.8333333333333334
2001-01-01,0.631578947368421,0.8682170542635659,0.6666666666666666
2002-01-01,1.0,1.0,0.5416666666666666
2003-01-01,0.5789473684210527,0.8682170542635659,0.4583333333333333
2004-01-01,0.7894736842105263,0.8062015503875969,0.4166666666666667
2005-01-01,0.8736842105263158,0.8449612403100775,1.0
2006-01-01,0.8,0.7906976744186046,0.5833333333333334
2007-01-01,0.7684210526315789,0.4186046511627907,0.8333333333333334
2008-01-01,0.6842105263157895,0.24031007751937986,0.625
2009-01-01,0.2631578947368421,0.20155038759689922,0.7083333333333334
2010-01-01,0.18947368421052632,0.07751937984496124,0.5
2011-01-01,0.14736842105263157,0.10852713178294573,0.5416666666666666
2013-01-01,0.15789473684210525,0.13178294573643412,1.0
2014-01-01,0.23157894736842105,0.27906976744186046,0.4583333333333333
2014-06-01,0.18947368421052632,0.43410852713178294,0.20833333333333334
2015-01-01,0.17894736842105263,0.49612403100775193,0.375
2016-01-01,0.12631578947368421,0.751937984496124,0.4166666666666667
2017-01-01,0.22105263157894736,0.9457364341085271,0.4583333333333333
2018-01-01,0.42105263157894735,0.8062015503875969,0.5416666666666666
2019-01-01,0.25263157894736843,0.49612403100775193,0.625
