YearSeason,T,Ox,Fl,Sal,Turb,pH
2010-11-01,27.825,4.25,0.08750000000000001,35.95,0.9875,8.387500000000001
2010-12-01,27.77857142857143,4.3428571428571425,0.1642857142857143,35.92857142857143,0.7857142857142857,8.457142857142857
2011-02-01,27.6,4.213636363636364,0.13181818181818183,36.14090909090909,1.1500000000000001,8.486363636363636
2011-03-01,27.759999999999998,4.206666666666667,0.8066666666666666,36.220000000000006,1.6400000000000001,8.593333333333334
2011-08-01,26.30322580645161,4.416129032258064,0.16451612903225807,36.3,3.332258064516129,8.274193548387096
2011-09-01,26.426666666666666,4.406666666666667,0.12333333333333334,36.35333333333333,3.1666666666666665,8.446666666666667
2011-10-01,26.45483870967742,4.34516129032258,0.14838709677419357,36.403225806451616,3.083870967741935,8.564516129032258
2011-11-01,26.900000000000002,4.175,0.19166666666666668,36.32083333333333,2.225,8.645833333333334
2012-01-01,28.1375,4.2375,0.1375,36.1,0.7,8.6
2012-02-01,28.389655172413793,3.8931034482758617,0.21034482758620693,36.148275862068964,1.1310344827586205,8.662068965517241
2012-03-01,28.919354838709676,3.693548387096774,0.24838709677419354,36.15806451612904,0.9193548387096774,8.761290322580646
2012-04-01,28.85,3.9615384615384617,0.06923076923076923,36.14615384615385,0.46153846153846156,8.8
2012-05-01,27.994444444444444,4.25,0.15000000000000002,36.21666666666667,0.47777777777777775,8.222222222222221
2012-06-01,27.516666666666666,4.246666666666667,0.19333333333333336,36.28333333333333,0.38666666666666666,8.223333333333333
2012-07-01,26.816129032258065,4.183870967741936,0.15161290322580645,36.3,0.33225806451612905,8.435483870967742
2012-08-01,26.557142857142857,4.114285714285714,0.1,36.4,0.34285714285714286,8.485714285714286
2012-10-01,26.856521739130436,2.9521739130434783,0.1565217391304348,36.35652173913043,0.44782608695652176,8.678260869565218
2012-11-01,27.966666666666665,2.8833333333333333,0.11666666666666667,36.333333333333336,0.41000000000000003,8.776666666666667
2012-12-01,28.070967741935487,2.793548387096774,0.11935483870967742,36.11290322580645,0.44516129032258067,8.883870967741936
2013-01-01,28.135483870967743,2.6709677419354843,0.11612903225806452,35.78064516129032,0.36774193548387096,8.983870967741936
2013-02-01,27.933333333333334,2.6,0.10000000000000002,35.833333333333336,0.3666666666666667,9.0
2013-03-01,28.72307692307692,2.815384615384615,0.05384615384615385,35.7,0.8153846153846155,8.1
2013-04-01,28.736666666666668,2.8,0.11333333333333334,35.71333333333334,0.6933333333333334,8.076666666666666
2013-05-01,28.383870967741935,2.7967741935483867,0.1,35.65161290322581,1.1774193548387097,8.203225806451613
2013-06-01,27.333333333333332,2.7899999999999996,0.1,35.86333333333333,1.3633333333333333,8.386666666666667
2013-07-01,26.45483870967742,2.5903225806451613,0.0967741935483871,36.06774193548387,1.1935483870967742,8.541935483870969
2013-08-01,25.833333333333332,2.6,0.022222222222222223,36.12222222222223,0.4666666666666667,8.6
2014-03-01,28.61111111111111,6.022222222222222,0.0,35.47777777777778,0.1,8.21111111111111
2014-04-01,28.4,6.246666666666667,0.0,35.54333333333333,0.12000000000000001,8.2
2014-05-01,27.951612903225808,6.325806451612903,0.0,35.516129032258064,0.12580645161290324,8.248387096774193
2014-06-01,27.25,6.59,0.0,35.61333333333334,0.1,8.396666666666667
2014-07-01,26.9,6.65,0.0,35.6,0.1,8.5
2015-05-01,28.40909090909091,4.954545454545454,1.9363636363636365,35.77272727272727,5.672727272727273,8.1
2015-06-01,27.990000000000002,5.843333333333334,1.7666666666666666,35.86,4.516666666666667,8.1
2015-07-01,27.364516129032257,5.090322580645162,2.096774193548387,36.04838709677419,5.509677419354839,8.187096774193547
2015-08-01,26.763157894736842,3.8736842105263154,2.031578947368421,36.10526315789474,3.9894736842105263,8.3
2015-11-01,27.718181818181815,4.381818181818182,0.34545454545454546,36.06363636363636,0.8090909090909091,8.172727272727272
2016-07-01,26.860000000000003,4.1,0.36,35.620000000000005,0.9,8.2
2016-08-01,26.90833333333333,4.166666666666667,1.025,35.775,0.9,8.158333333333333
2016-09-01,27.1,4.1,0.95,35.8,0.95,8.2
2016-10-01,27.633333333333336,3.966666666666667,1.3,35.733333333333334,0.9666666666666667,8.333333333333334
