Year,Acropora,Astrea curta,Astreopora,Autres corail,Cyphastrea,Fungia,Gardineroseris,Goniastrea stelligera,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montipora,Napopora,Pavona,Pocillopora,Porites,Porites rus,Psammocora,Sandalolitha,Total
1997-01-01,0.05138888888888889,0.0027777777777777775,0.0006172839506172839,0.010030864197530864,0.0,0.0016975308641975309,0.0,0.0030864197530864196,0.0014403292181069957,0.008333333333333333,0.0,0.0,0.0,0.015277777777777777,0.006790123456790123,0.006944444444444444,0.15709876543209877,0.05324074074074074,0.0030864197530864196,0.0,0.0,0.3218106995884774
1998-01-01,0.0962962962962963,0.0049382716049382715,0.0,0.01728395061728395,0.0,0.006172839506172839,0.0,0.004320987654320987,0.0,0.0024691358024691358,0.0,0.0,0.0,0.01111111111111111,0.0037037037037037034,0.0018518518518518517,0.16728395061728393,0.024691358024691357,0.0,0.0,0.0,0.34012345679012346
1999-01-01,0.06574074074074074,0.0029320987654320985,0.0012345679012345679,0.01095679012345679,0.0,0.005555555555555556,0.0,0.0024691358024691358,0.0010288065843621398,0.010648148148148148,0.0006172839506172839,0.0006172839506172839,0.005555555555555556,0.026234567901234566,0.004166666666666666,0.0035493827160493823,0.13719135802469135,0.061265432098765435,0.0012345679012345679,0.0,0.0,0.34099794238683123
2001-01-01,0.12321312540610785,0.004499675113710201,0.0006335282651072124,0.006546458739441195,0.0,0.006205328135152696,0.0006172839506172839,0.0014403292181069957,0.0014051332033788173,0.012784275503573748,0.0006335282651072124,0.0006172839506172839,0.012962962962962963,0.026559454191033137,0.009876543209876543,0.005604288499025341,0.1359324236517219,0.07952404158544508,0.0034194282001299542,0.0006172839506172839,0.0,0.43309237600173267
2003-01-01,0.13858024691358023,0.000925925925925926,0.0012345679012345679,0.0095679012345679,0.0,0.00802469135802469,0.0,0.0006172839506172839,0.0012345679012345679,0.011419753086419753,0.0,0.0,0.0,0.01111111111111111,0.007716049382716049,0.004629629629629629,0.14660493827160492,0.0925925925925926,0.004012345679012345,0.0,0.0,0.4382716049382716
2005-01-01,0.13796296296296295,0.0021604938271604936,0.0006172839506172839,0.009259259259259259,0.0,0.008641975308641974,0.0,0.0018518518518518517,0.0021604938271604936,0.013271604938271604,0.00030864197530864197,0.0,0.0,0.009259259259259259,0.0095679012345679,0.005246913580246914,0.1469135802469136,0.0904320987654321,0.0033950617283950617,0.0,0.0,0.4410493827160494
2007-01-01,0.020987654320987655,0.0018518518518518517,0.0,0.0,0.0,0.0037037037037037034,0.0,0.0,0.0037037037037037034,0.0006172839506172839,0.0,0.0,0.0,0.0037037037037037034,0.0024691358024691358,0.0,0.059259259259259255,0.030246913580246913,0.0049382716049382715,0.0,0.0,0.13148148148148148
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00246,0.0,0.0,0.0,0.00802,0.0,0.0,0.0,0.0,0.01048
2011-01-01,0.0,0.0,0.0,0.0012345679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006172839506172839,0.0,0.0012345679012345679,0.0030864197530864196,0.0006172839506172839,0.0,0.0,0.006790123456790123
2013-01-01,0.0018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0006172839506172839,0.0006172839506172839,0.006790123456790123,0.009876543209876543,0.0012345679012345679,0.0,0.0,0.024074074074074078
2015-01-01,0.008641975308641974,0.0037037037037037034,0.0,0.0012345679012345679,0.0,0.0,0.0,0.0,0.0,0.0006172839506172839,0.0,0.0,0.0,0.017901234567901235,0.0037037037037037034,0.0030864197530864196,0.10185185185185186,0.023456790123456788,0.0006172839506172839,0.0006172839506172839,0.0,0.16543209876543208
2017-01-01,0.027160493827160494,0.0037037037037037034,0.0,0.006172839506172839,0.0,0.0012345679012345679,0.0,0.000617283950617285,0.0,0.0006172839506172839,0.0,0.0,0.0,0.03333333333333333,0.0018518518518518517,0.0030864197530864204,0.24876543209876542,0.03148148148148148,0.0037037037037037034,0.0,0.0,0.3617283950617284
2019-01-01,0.010493827160493827,0.0030864197530864196,0.0,0.0006172839506172839,0.0006172839506172839,0.0012345679012345679,0.0,0.0,0.0,0.0006172839506172839,0.0006172839506172839,0.0,0.0,0.018518518518518517,0.0024691358024691358,0.0030864197530864196,0.23148148148148148,0.029629629629629627,0.004320987654320987,0.0012345679012345679,0.0,0.3080246913580247
2021-01-01,0.015432098765432098,0.004320987654320987,0.0,0.0,0.0,0.0024691358024691358,0.0,0.0,0.0006172839506172839,0.0018518518518518517,0.0,0.0,0.0,0.009259259259259259,0.0006172839506172839,0.007407407407407407,0.16604938271604935,0.01604938271604938,0.0,0.0,0.0,0.22407407407407404
